x,y,strain,protocol_otherextension
1.0583157773556668,0.3557243999309278,ss,1.15
1.070760375294998,0.5471133367869676,ss,1.15
1.0804374604270996,0.6626374258907504,ss,1.15
1.090395441201865,0.8532492948828683,ss,1.15
1.0995153398952398,0.893599263224548,ss,1.15
1.1108639843435215,1.2346457146146328,ss,1.15
1.1191550106487078,1.2747366603350052,ss,1.15
1.1282887238818855,1.5400909457203724,ss,1.15
1.1371530535889025,1.9178610487538137,ss,1.15
1.1451723939446268,2.032867092614975,ss,1.15
1.1543038047545042,2.260720658493064,ss,1.15
1.1642617855292696,2.451332527485178,ss,1.15
1.1731192079663846,2.716600471996781,ss,1.15
1.1830863984343525,3.0572152190180155,ss,1.15
1.1947136361019974,3.435848730789157,ss,1.15
1.2027490934208256,3.813359811201291,ss,1.15
1.2124492027859322,4.303891095377885,ss,1.15
1.2221424048811371,4.681920221032637,ss,1.15
1.231287630230818,5.134778103954412,ss,1.15
1.2390490991768837,5.549703563000056,ss,1.15
1.248756115811892,6.152737005698498,ss,1.15
1.257077073619985,6.680337305013527,ss,1.15
1.265955217866805,7.283111725090658,ss,1.15
1.2740021873021354,7.848126403039199,ss,1.15
1.0577983766917087,0.7741917773121152,ss,1.2
1.0652613855768966,0.9512824501523554,ss,1.2
1.075489874911926,1.163538702268422,ss,1.2
1.0823994582871994,1.3407391817574563,ss,1.2
1.0884821975970644,1.4466751461801015,ss,1.2
1.0956684937272954,1.623820722344739,ss,1.2
1.1031315026124833,1.8009113951849791,ss,1.2
1.108939176267123,1.871187650412232,ss,1.2
1.1150153271780607,2.11998206491403,ss,1.2
1.121928204752798,2.2257533193634917,ss,1.2
1.1257988891227364,2.29641389786152,ss,1.2
1.1343671019280217,2.508999569923958,ss,1.2
1.1429303734341114,2.82872907954577,ss,1.2
1.1498399568093849,3.0059295590348007,ss,1.2
1.1584065225149385,3.254229843617029,ss,1.2
1.1653078703915525,3.6100033857050047,ss,1.2
1.175261294071356,3.78659992862568,ss,1.2
1.1835379702240971,4.320672016690612,ss,1.2
1.1921061830293824,4.533257688753055,ss,1.2
1.2014962986008804,4.924251713441249,ss,1.2
1.2078409267681158,5.3515642872175935,ss,1.2
1.215569118710138,5.778602344371954,ss,1.2
1.219981698891868,6.099155403859704,ss,1.2
1.227149876925048,6.669161717742011,ss,1.2
1.2354298472772527,7.131804580767367,ss,1.2
1.24287473806539,7.701755991325275,ss,1.2
1.2483859337682897,8.200662500114383,ss,1.2
1.2536286522148918,8.521050849628944,ss,1.2
1.2602516402368165,8.912593907561105,ss,1.2
1.2646576320196188,9.376005417128008,ss,1.2
1.2751265979155038,10.373928241355014,ss,1.2
1.0577865212641695,0.2909216443849658,ss,1.1
1.0641117190566494,0.4016097683238797,ss,1.1
1.0712677162003037,0.4008720366595852,ss,1.1
1.0792408930336377,0.5856170699757399,ss,1.1
1.0850190344227486,0.6221347873583056,ss,1.1
1.0907954733541727,0.6957660823138276,ss,1.1
1.0949222307870556,0.7324540454650759,ss,1.1
1.1018029972713386,0.7317446880955636,ss,1.1
1.108948779668872,0.953688421869014,ss,1.1
1.1174775251940092,1.0270359738767318,ss,1.1
1.126001163346086,1.211724258603322,ss,1.1
1.1359009547950194,1.3962706718560085,ss,1.1
1.1447083358949015,1.3953626944230315,ss,1.1
1.1535089071640363,1.5429090272818833,ss,1.1
1.1609248128478808,1.8761651194794275,ss,1.1
1.1672432008096132,2.135307553710174,ss,1.1
1.1760420696210614,2.319967464141982,ss,1.1
1.1829143238169102,2.504825994637258,ss,1.1
1.1930927508405886,2.61511687844925,ss,1.1
1.1988657848566389,2.762975328550688,ss,1.1
1.2057295267640535,3.133401746910746,ss,1.1
1.2156259132976133,3.392175315309352,ss,1.1
1.221663963226914,3.762686856553753,ss,1.1
1.2293550995701297,4.095914574456513,ss,1.1
1.2367761126270342,4.317829933935181,ss,1.1
1.244463844054876,4.725284806983858,ss,1.1
1.251602816621662,5.095682851049139,ss,1.1
1.2598393069105596,5.540194553081209,ss,1.1
1.2680809045725177,5.873365522394412,ss,1.1
1.276869558637845,6.280706898263967,ss,1.1
1.0580250120465011,0.3669571655141403,ff,1.15
1.0652096410302232,0.4455354550067198,ff,1.15
1.0735040160322176,0.8240668349453806,ff,1.15
1.0809678047286106,1.0899004049539052,ff,1.15
1.090363309708363,1.207049835816559,ff,1.15
1.0983790994003877,1.435748271207423,ff,1.15
1.1074994654863757,1.6275987733311226,ff,1.15
1.115237244271131,1.7438866001423214,ff,1.15
1.1238044605560855,1.898027564947391,ff,1.15
1.1304399605576811,2.2008526688983245,ff,1.15
1.137351748258443,2.5038213735245023,ff,1.15
1.144816685760238,2.844499615469303,ff,1.15
1.1531070399433256,2.9610746436309903,ff,1.15
1.1625111609635923,3.6395591140157446,ff,1.15
1.1713586857666205,4.055800031273035,ff,1.15
1.1826910766540404,4.361066346703087,ff,1.15
1.1923680389572675,4.815160401954246,ff,1.15
1.199554391149093,5.006005699351242,ff,1.15
1.2070239238724954,5.646062629041161,ff,1.15
1.2147685954896623,6.211418487470043,ff,1.15
1.2208503712875236,6.43911171813421,ff,1.15
1.228045913922564,7.228714391021446,ff,1.15
1.2363408633272597,7.644668106928252,ff,1.15
1.243256097444227,8.172170827363267,ff,1.15
1.2523856539734308,8.962778704977199,ff,1.15
1.260405464484362,9.453433492145042,ff,1.15
1.2667681232029973,9.98064901122957,ff,1.15
1.2739659634488416,10.919941027989363,ff,1.15
1.282267805685949,11.784962775513849,ff,1.15
1.2919510864188863,12.650702526414545,ff,1.15
