x,y,r,strain
0.0629496424191073,0.7734056987788307,2.05,ff
0.0664525723901335,0.8819538670284928,2.05,ff
0.0730359713935285,1.2618724559023065,2.05,ff
0.0761105153075432,1.4654002713704202,2.05,ff
0.0813803155718035,1.8046132971506128,2.05,ff
0.0870737617983919,1.9945725915875163,2.05,ff
0.0919116209346281,2.388059701492537,2.05,ff
0.0956518518957415,2.713704206241516,2.05,ff
0.1020180953114538,3.1071913161465403,2.05,ff
0.1059778519075918,3.4464043419267334,2.05,ff
0.1119133392189508,3.907734056987788,2.05,ff
0.1209399607757164,4.762550881953867,2.05,ff
0.1266962132568597,5.671641791044777,2.05,ff
0.1315554028191712,6.309362279511534,2.05,ff
0.1368240180597607,6.635006784260515,2.05,ff
0.1417199433558685,7.693351424694709,2.05,ff
0.1461069009853471,7.924016282225239,2.05,ff
0.151426472243783,8.833107191316147,2.05,ff
0.1567247130761436,9.49796472184532,2.05,ff
0.1633318125529557,10.149253731343284,2.05,ff
0.1684531886024423,11.28900949796472,2.05,ff
0.0602238805970149,0.482039397450734,2.05,ss
0.0626865671641791,0.7879490150637167,2.05,ss
0.0647014925373134,1.01969872537658,2.05,ss
0.0678358208955224,1.2792584009269898,2.05,ss
0.0698507462686567,1.6778679026651062,2.05,ss
0.0723134328358208,2.1135573580532903,2.05,ss
0.0736567164179104,2.419466975666268,2.05,ss
0.0774626865671642,3.040556199304742,2.05,ss
0.0785820895522388,3.6894553881807575,2.05,ss
0.0794776119402985,4.2363847045191125,2.05,ss
0.0810447761194029,4.338354577056771,2.05,ss
0.0823880597014925,5.089223638470446,2.05,ss
0.0835074626865671,5.385863267670911,2.05,ss
0.0677875015553435,1.1668928086838548,1.02,ff
0.0708691556113833,1.4518317503392133,1.02,ff
0.0743709005587386,1.5468113975576685,1.02,ff
0.077007578226375,1.7367706919945718,1.02,ff
0.0868980820391887,2.4830393487109923,1.02,ff
0.0917394962464374,2.917232021709633,1.02,ff
0.0976986840312135,3.649932157394845,1.02,ff
0.1016691058403891,4.111261872455906,1.02,ff
0.1069744568147748,4.857530529172321,1.02,ff
0.1109555438369881,5.440976933514248,1.02,ff
0.11692302678746,6.26865671641791,1.02,ff
0.1209041138096733,6.852103120759837,1.02,ff
0.1268526363814117,7.462686567164178,1.02,ff
0.1330467551089333,8.385345997286297,1.02,ff
0.135742683960112,9.253731343283585,1.02,ff
0.1441202088011708,10.176390773405698,1.02,ff
0.1477262358315607,11.46540027137042,1.02,ff
0.1517357634218743,12.37449118046133,1.02,ff
0.1586524503326953,14.07055630936228,1.02,ff
0.1607632737463931,15.739484396200814,1.02,ff
0.1678544553927464,16.933514246947084,1.02,ff
0.0828358208955224,1.4090382387021876,1.02,ss
0.0904477611940298,1.687137891077624,1.02,ss
0.0955970149253731,1.8725376593279144,1.02,ss
0.0996268656716417,2.030127462340662,1.02,ss
0.1032089552238806,2.6697566628041614,1.02,ss
0.1083582089552239,2.780996523754336,1.02,ss
0.1128358208955224,3.263035921205093,1.02,ss
0.1161940298507462,4.050984936268822,1.02,ss
0.1220149253731343,4.227114716106598,1.02,ss
0.1260447761194029,4.7833140208574685,1.02,ss
0.1305223880597015,5.376593279258397,1.02,ss
0.1343283582089552,5.886442641946694,1.02,ss
0.1383582089552238,6.609501738122824,1.02,ss
0.1430597014925373,7.471610660486673,1.02,ss
0.1484328358208955,8.148319814600232,1.02,ss
0.1524626865671642,9.288528389339517,1.02,ss
0.1571641791044776,10.252607184241024,1.02,ss
0.1629850746268656,11.290845886442648,1.02,ss
0.0517870156956385,0.4613297150610584,0.48,ff
0.0553041659507148,0.7327001356852101,0.48,ff
0.0585958654524124,0.9226594301221168,0.48,ff
0.0603544405799505,1.0583446404341963,0.48,ff
0.0616834446268064,1.275440976933513,0.48,ff
0.0634467598490279,1.4654002713704202,0.48,ff
0.0652124451185912,1.6824966078697443,0.48,ff
0.0665390791181053,1.8724559023066512,0.48,ff
0.0691733867384001,2.0352781546811407,0.48,ff
0.0705000207379142,2.225237449118048,0.48,ff
0.071397083656746,2.496607869742199,0.48,ff
0.0731769892103594,2.876526458616013,0.48,ff
0.0756083615270215,3.2157394843962024,0.48,ff
0.0758658079195131,3.663500678426052,0.48,ff
0.0772161423924442,4.124830393487111,0.48,ff
0.0794185088847149,4.341926729986433,0.48,ff
0.0662686567164179,0.5747392815758836,0.48,ss
0.0694029850746268,0.6674391657010315,0.48,ss
0.0694029850746268,0.463499420625709,0.48,ss
0.0738805970149253,0.7415990730011455,0.48,ss
0.077910447761194,0.7786790266512025,0.48,ss
0.0785820895522388,0.9640787949014928,0.48,ss
0.0826119402985074,1.0660486674391514,0.48,ss
0.0861940298507462,0.9733487833140072,0.48,ss
0.0931343283582089,1.056778679026639,0.48,ss
0.096044776119403,1.269988412514472,0.48,ss
0.1002985074626865,1.1309385863267547,0.48,ss
0.1038805970149253,1.7056778679026523,0.48,ss
0.1085820895522388,1.5017381228273337,0.48,ss
0.1128358208955224,1.566628041714937,0.48,ss
0.1166417910447761,1.594438006952478,0.48,ss
0.122910447761194,1.9281575898030017,0.48,ss
0.1271641791044776,1.8354577056778567,0.48,ss
0.1305223880597015,2.271147161066038,0.48,ss
0.134776119402985,2.2247972190034666,0.48,ss
0.140820895522388,2.5955967555040456,0.48,ss
0.1432835820895522,2.475086906141355,0.48,ss
0.1491044776119403,3.022016222479712,0.48,ss
0.1522388059701492,2.8922363847045087,0.48,ss
0.1585074626865671,3.522595596755494,0.48,ss
0.1625373134328358,3.3186558516801767,0.48,ss
